Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Piauí;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Dirceu Arcoverde;35,3;43,6;26,7;19,1;21,9;16,2;19,4;23,5;38,8;44,7;28,9;36,0;50,0;67,7;63,1;50,5;60,2;59,4;70,0;63,8
Dom Expedito Lopes;22,1;19,8;22,7;19,1;35,6;34,0;39,2;68,9;52,2;56,8;50,0;37,2;51,4;48,3;56,6;61,3;62,0;66,7;59,5;67,1
Domingos Mourão;5,8;11,3;**;**;**;6,1;14,7;30,3;37,5;39,7;37,3;33,8;42,4;22,9;45,5;55,6;63,5;71,2;66,7;72,7
Dom Inocêncio;14,1;24,8;13,1;18,3;25,4;23,2;25,5;26,1;37,7;34,0;29,4;38,9;44,0;46,0;50,0;53,3;50,6;54,7;65,1;69,1
Elesbão Veloso;2,4;14,6;5,6;7,8;6,0;24,0;40,3;22,4;27,4;26,1;22,2;47,1;58,2;67,7;65,5;70,3;67,5;65,2;71,3;68,6
Eliseu Martins;32,0;33,3;44,3;55,0;43,6;48,3;44,4;50,0;59,0;38,6;61,3;55,8;55,4;72,0;84,3;70,0;64,0;54,3;61,7;62,3
Esperantina;4,8;5,8;18,7;24,3;29,5;33,8;34,6;37,4;40,2;31,8;38,3;41,3;48,5;53,0;57,9;62,7;69,7;67,6;69,7;71,2
Fartura do Piauí;9,1;30,9;49,3;32,7;38,3;20,6;12,5;15,6;13,8;38,7;29,8;35,8;43,1;31,7;50,0;47,7;41,3;49,4;55,1;61,1
Flores do Piauí;25,6;34,8;57,0;60,0;35,9;19,4;14,1;21,4;33,8;29,6;50,0;49,3;45,7;32,7;50,0;51,8;32,9;43,5;56,4;55,0
Floresta do Piauí;**;**;30,0;20,6;20,6;23,7;40,0;43,3;36,7;34,5;55,6;54,2;70,4;85,2;73,3;73,7;82,4;78,6;56,5;60,9
Floriano;9,6;46,2;48,2;56,3;45,4;23,4;9,4;17,2;28,4;29,7;36,1;38,5;50,9;48,8;56,7;52,7;55,7;55,6;58,1;62,9
Francinópolis;9,7;12,3;16,7;13,0;10,6;23,8;41,6;21,3;42,6;35,0;26,7;51,9;56,7;53,2;56,9;72,4;70,0;77,6;79,7;82,8
Francisco Ayres;5,2;20,7;35,4;34,8;28,8;17,9;**;17,6;14,0;14,5;27,4;21,0;46,4;30,0;42,6;56,9;78,1;62,3;70,4;56,3
Francisco Macedo;**;**;**;25,8;35,7;28,2;54,2;46,3;42,5;35,0;34,1;25,0;31,0;43,9;42,0;59,0;48,3;65,7;36,1;50,0
Francisco Santos;16,7;14,0;22,4;13,6;31,2;29,3;37,4;50,8;55,6;59,9;53,1;62,7;58,1;73,7;74,2;66,9;72,7;71,1;69,1;54,7
Fronteiras;11,2;14,0;25,0;36,0;32,4;27,4;33,1;54,9;63,9;69,9;63,0;66,1;55,2;68,3;76,5;75,3;84,2;63,9;55,3;73,0
Geminiano;29,0;22,8;17,4;19,3;17,1;8,2;29,1;40,6;45,2;41,6;44,4;24,1;35,4;38,7;31,9;37,9;31,9;61,4;71,1;78,3
Gilbués;11,5;13,4;12,8;13,3;11,6;15,6;10,5;18,4;17,7;25,2;37,5;37,2;34,1;40,7;39,2;51,8;58,9;60,3;64,4;67,7
Guadalupe;44,8;52,9;28,4;28,8;35,1;20,8;15,3;27,3;19,2;42,4;64,5;42,4;49,2;47,5;51,6;59,6;50,9;45,8;54,0;61,4
Guaribas;**;**;**;10,1;6,8;15,7;19,4;42,2;50,5;58,3;53,1;48,2;61,4;64,2;76,3;74,7;75,0;59,5;73,9;77,6
Hugo Napoleão;11,1;35,6;22,5;52,3;40,8;54,8;66,7;67,2;39,5;64,2;64,6;53,7;51,1;76,5;76,0;75,0;83,0;78,0;69,0;79,5
Ilha Grande;5,9;4,7;8,5;10,2;13,2;25,7;31,2;35,7;21,8;19,8;17,7;29,8;36,1;37,8;40,5;42,9;44,6;40,9;46,9;55,8
Inhuma;28,9;27,4;17,8;19,9;29,3;46,2;62,8;62,8;59,7;64,4;67,1;68,6;65,4;68,8;73,1;73,1;70,2;71,2;77,2;79,2
Ipiranga do Piauí;7,5;6,0;5,6;10,2;39,6;28,9;49,1;47,6;61,3;53,2;43,4;60,0;64,9;50,0;77,4;78,0;77,6;60,4;73,0;69,7
Isaías Coelho;**;**;9,0;19,7;21,4;22,5;39,1;44,6;51,1;60,4;53,6;67,4;75,8;77,4;78,6;89,7;87,4;79,0;83,1;85,7
Itainópolis;9,8;13,3;26,6;25,9;19,2;30,3;40,8;49,7;47,5;61,9;46,6;48,5;57,9;57,4;58,5;64,7;73,9;73,7;79,7;84,7
Itaueira;2,8;11,5;53,8;63,3;40,0;10,5;7,9;27,1;35,2;32,7;41,8;54,9;54,9;53,3;64,5;67,9;64,7;66,2;62,2;67,8
Jacobina do Piauí;20,8;15,2;17,8;35,6;21,3;22,6;29,1;37,9;28,1;38,9;43,2;61,5;56,3;35,7;43,4;51,2;50,6;61,8;73,4;84,4
Jaicós;5,7;29,0;23,9;23,6;23,3;30,6;19,5;31,0;34,6;37,6;43,2;32,8;42,9;38,2;45,3;50,0;52,2;55,5;63,2;49,0
Jardim do Mulato;16,4;11,9;12,5;20,6;47,5;42,6;39,1;46,4;60,0;25,5;43,1;23,6;37,5;32,8;27,9;38,1;46,2;37,0;43,5;46,8
Jatobá do Piauí;50,0;47,3;35,5;19,2;44,2;34,8;30,2;59,8;52,9;40,4;50,6;37,2;40,9;40,0;33,9;44,0;43,8;47,8;47,5;57,1
Jerumenha;17,2;38,6;36,9;48,7;45,9;7,1;0,0;12,7;20,3;19,7;36,8;37,0;28,6;38,7;42,5;62,0;49,3;51,5;37,5;53,3
João Costa;**;12,8;**;**;18,0;19,6;38,2;31,6;16,7;28,2;21,3;13,5;45,5;36,8;39,5;61,5;66,7;75,0;77,3;90,0
Joaquim Pires;6,3;7,0;11,2;14,5;14,0;27,0;30,7;24,4;28,8;25,7;33,9;37,5;63,5;66,3;54,5;46,3;42,6;47,3;53,7;58,4
Joca Marques;14,3;16,1;21,2;10,0;11,5;9,4;12,1;15,0;15,3;13,7;9,4;20,8;34,9;32,1;33,3;37,0;45,8;61,0;48,8;57,1
José de Freitas;5,5;9,0;17,1;15,0;20,0;31,1;38,3;33,2;35,1;30,0;25,7;35,5;36,4;45,6;49,3;53,1;62,0;53,2;59,1;61,8
Juazeiro do Piauí;21,0;18,5;13,8;20,3;16,3;16,5;21,2;39,3;44,3;31,3;45,7;52,4;48,0;54,5;44,4;86,4;59,6;61,7;69,6;64,8
Júlio Borges;**;**;**;7,5;12,0;21,3;16,7;20,7;17,1;27,2;33,8;44,4;55,0;51,5;55,1;70,4;50,0;63,5;61,5;60,2
Jurema;14,9;**;28,9;20,9;18,9;10,2;40,8;39,8;41,0;63,9;53,3;55,6;64,8;56,8;67,7;75,4;75,0;84,4;74,0;71,1
Lagoinha do Piauí;**;27,1;32,4;41,2;63,6;64,1;52,5;48,7;58,8;40,5;37,2;37,8;34,6;69,0;58,3;72,7;50,0;61,3;80,0;77,1
Lagoa Alegre;8,0;9,9;10,2;11,9;15,4;24,6;25,0;36,0;28,1;23,3;30,1;21,5;28,7;28,6;31,2;40,0;51,3;50,9;51,7;50,0
Lagoa do Barro do Piauí;22,0;19,2;**;8,4;27,3;30,1;21,9;32,4;44,7;44,0;53,3;44,3;62,9;63,1;80,6;73,1;80,0;85,1;89,2;92,1
Lagoa de São Francisco;7,1;9,4;7,4;17,0;10,0;12,0;12,7;21,6;34,7;27,5;43,0;47,4;44,3;47,7;56,8;62,8;54,9;68,5;64,1;70,3
Lagoa do Piauí;25,8;26,1;22,7;**;35,1;43,1;57,4;50,0;60,7;35,5;36,8;36,4;45,9;40,3;36,4;48,1;44,6;53,7;50,0;53,2
Lagoa do Sítio;30,6;30,9;27,8;37,3;39,7;78,4;67,4;73,1;61,4;61,8;78,6;70,1;63,2;73,9;74,6;79,4;87,9;81,1;84,0;80,0
Landri Sales;26,2;23,0;43,2;24,3;28,3;17,8;17,1;28,3;48,0;43,2;47,5;52,4;50,8;59,6;66,7;79,7;70,2;77,2;74,1;80,0
Luís Correia;20,6;8,1;24,0;8,2;10,5;14,6;18,9;20,8;17,4;12,9;16,9;27,1;32,0;29,3;40,1;42,3;39,6;46,5;52,5;54,0
Luzilândia;26,5;17,4;17,8;6,7;9,2;11,8;12,8;14,0;13,1;12,9;14,3;27,9;27,9;30,4;34,1;35,5;48,1;46,6;50,4;56,5
Madeiro;25,8;13,9;23,1;12,7;17,2;18,0;20,1;20,2;14,5;16,9;18,0;28,6;27,6;47,7;48,3;55,6;56,3;56,5;60,0;67,3
