Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Mato Grosso do Sul;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Rio Brilhante;57,1;58,4;53,6;59,8;59,9;57,8;73,5;73,7;74,6;79,8;74,5;73,6;82,7;81,6;82,6;87,1;79,0;77,7;77,4;83,6
Rio Negro;92,2;90,8;70,9;49,1;46,5;89,0;94,8;71,8;86,9;60,3;88,6;68,6;62,2;75,4;77,5;65,1;72,7;75,9;77,6;81,1
Rio Verde de Mato Grosso;62,0;81,3;71,7;71,8;55,3;49,7;47,1;46,9;39,1;50,7;49,2;60,1;52,5;51,5;65,3;58,1;58,0;57,7;61,0;68,8
Rochedo;92,2;89,9;74,5;60,9;62,1;58,6;71,9;59,6;77,4;77,4;88,9;82,8;56,7;73,0;50,0;64,3;53,3;69,4;63,9;61,1
Santa Rita do Pardo;43,8;51,6;48,5;32,9;41,9;58,1;68,9;50,0;61,2;65,9;76,5;67,0;65,7;74,7;76,3;78,3;73,7;61,9;72,0;74,1
São Gabriel do Oeste;71,1;87,8;79,8;50,3;32,0;63,6;73,1;78,5;69,5;69,3;69,0;61,8;58,8;79,9;82,8;75,7;80,4;77,3;88,2;84,6
Sete Quedas;30,1;38,2;32,0;29,4;28,8;30,7;31,3;54,9;61,3;67,1;65,3;62,8;40,6;56,9;62,5;50,0;64,2;66,5;68,6;57,9
Selvíria;46,7;45,5;47,1;57,9;79,3;54,7;72,4;59,4;60,7;70,3;69,5;68,9;71,7;70,7;61,4;75,0;76,0;73,7;77,4;73,0
Sidrolândia;51,5;55,4;57,3;45,8;42,9;49,1;63,6;82,4;83,0;78,9;87,9;85,0;67,8;67,8;53,1;58,6;57,1;72,4;70,9;67,7
Sonora;38,5;76,5;80,5;77,1;78,9;65,0;38,9;75,8;80,7;85,5;86,5;86,8;69,8;77,4;80,3;82,4;75,8;77,3;71,4;77,7
Tacuru;48,8;19,1;46,2;28,9;27,5;24,6;14,5;21,5;31,2;32,6;31,3;37,8;41,6;40,4;42,8;37,7;51,1;56,6;58,4;49,7
Taquarussu;57,1;48,3;67,9;71,2;60,4;72,2;72,5;78,7;77,6;59,6;70,6;47,1;58,7;84,0;64,7;79,5;87,8;70,5;73,5;91,7
Terenos;87,1;70,7;67,1;57,1;55,0;61,9;68,1;63,9;65,8;75,7;73,7;65,8;58,9;55,4;64,8;65,9;62,1;62,2;62,7;66,3
Três Lagoas;38,7;58,0;64,0;64,7;64,0;55,8;61,4;60,2;68,3;74,3;68,2;69,7;71,2;70,3;73,9;76,0;77,3;78,0;80,7;82,9
Vicentina;38,3;28,0;50,5;60,0;63,1;73,8;77,5;88,6;81,2;76,9;88,3;74,6;78,7;77,4;91,9;81,9;80,8;77,6;71,8;78,2
Mato Grosso do Sul;58,9;58,4;59,2;58,8;58,4;61,8;62,6;63,1;63,1;63,5;65,0;64,2;61,8;63,6;65,5;65,6;65,4;67,7;69,8;70,7
Centro-Oeste;50,5;53,8;54,7;56,6;57,3;58,8;59,2;61,5;63,1;64,1;67,0;64,5;64,0;64,5;65,9;67,1;67,8;69,0;71,0;72,0
Brasil;43,7;45,5;47,8;49,9;52,0;52,8;54,5;55,8;57,0;57,9;60,6;61,3;61,7;62,4;64,6;66,5;67,7;69,3;70,8;72,4
** - Para evitar a interpretação inadequada de taxas instáveis, foram suprimidos valores baseados em baixa frequência de casos (maior que 0 e menor que 5).;;;;;;;;;;;;;;;;;;;;
** - Indicador não calculado, pois o denominador é igual a zero.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;;;;;;;;;;;;;;;;;;
URL: https://www.proadess.icict.fiocruz.br/;;;;;;;;;;;;;;;;;;;;
