Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Rio Grande do Norte;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Ipanguaçu;11,6;11,2;7,4;8,5;16,5;12,2;13,4;12,4;14,1;12,1;15,8;43,0;58,4;55,7;60,7;59,2;55,3;67,8;64,3;69,9
Ipueira;43,3;50,0;66,7;55,6;54,5;46,9;52,0;57,9;76,0;88,5;65,2;72,2;77,3;84,0;80,0;81,0;66,7;84,0;84,2;93,3
Itajá;17,6;17,1;6,9;10,3;9,7;17,5;16,9;11,8;11,6;22,9;24,2;52,0;57,9;47,5;65,0;57,0;61,1;61,6;59,7;66,3
Itaú;38,6;21,2;59,6;55,5;42,3;47,7;61,4;53,8;60,8;68,1;71,8;73,0;70,7;73,4;56,7;75,4;72,4;77,1;79,7;75,0
Jaçanã;10,1;20,0;39,2;38,3;40,9;36,5;49,6;46,9;52,2;45,2;55,9;66,0;71,3;60,6;77,0;77,0;75,0;80,0;87,3;88,9
Jandaíra;31,3;33,8;52,8;34,2;45,5;21,2;32,2;44,0;42,2;41,3;30,4;44,6;43,5;29,2;58,8;55,4;46,5;51,1;56,8;69,6
Janduís;21,3;17,8;29,9;21,7;25,9;32,7;37,9;40,8;54,0;38,8;45,1;51,9;69,7;68,1;64,3;75,8;81,4;80,0;73,5;74,1
Januário Cicco;42,3;28,3;29,6;26,6;21,2;26,7;30,6;33,8;45,6;27,2;35,4;40,2;34,2;52,9;60,3;57,3;67,7;68,8;74,7;64,7
Japi;35,5;34,8;23,8;15,0;35,2;44,4;52,8;53,4;63,1;58,1;52,5;64,9;52,5;70,1;66,7;69,8;76,7;72,1;82,2;85,3
Jardim de Angicos;48,8;48,1;30,2;37,0;35,9;27,3;41,7;50,0;41,9;40,0;21,6;33,3;32,4;37,1;40,7;34,6;66,7;68,6;64,9;68,4
Jardim de Piranhas;17,2;25,7;43,7;42,1;62,5;39,8;51,7;50,0;52,3;53,3;47,8;66,8;56,7;62,3;72,9;67,4;66,1;83,3;86,2;86,8
Jardim do Seridó;6,4;6,7;36,7;67,6;75,5;77,1;77,3;77,0;85,6;88,9;93,4;83,9;87,9;89,7;86,5;89,3;81,9;85,0;90,6;87,1
João Câmara;53,0;43,1;40,4;40,2;34,7;26,3;39,1;43,3;42,6;37,1;33,6;34,4;41,1;41,2;44,8;48,5;54,5;62,6;64,6;69,4
João Dias;**;**;7,6;**;15,0;15,0;20,6;41,7;22,9;40,5;36,5;77,8;45,5;66,7;57,1;70,8;38,5;65,7;67,5;65,7
José da Penha;47,5;61,7;68,8;83,3;86,0;79,8;80,6;85,9;84,2;89,1;94,9;84,2;90,8;86,9;77,5;87,0;83,8;82,8;82,7;89,9
Jucurutu;11,6;10,2;22,4;33,0;31,7;48,4;49,2;44,5;48,2;53,0;62,9;78,1;80,9;75,5;84,0;69,2;72,5;79,1;84,7;79,5
Jundiá;**;**;14,3;13,6;17,4;21,6;32,1;25,0;35,2;50,9;68,8;63,2;63,2;69,6;80,8;60,0;58,8;52,4;72,2;58,3
Lagoa d'Anta;30,3;33,3;33,6;23,5;24,8;14,4;51,4;44,7;50,6;48,4;30,8;38,6;50,7;64,4;71,7;76,5;68,1;76,1;69,8;84,3
Lagoa de Pedras;14,2;14,3;15,0;22,8;22,2;32,4;33,3;25,8;43,8;37,9;42,7;39,6;44,3;53,6;64,0;68,9;64,8;60,6;65,2;68,7
Lagoa de Velhos;17,7;28,8;36,5;14,9;18,8;25,5;36,4;21,2;28,8;21,6;42,4;39,4;61,5;50,0;63,4;82,4;71,4;71,4;81,8;76,2
Lagoa Nova;35,6;37,8;40,3;34,5;27,2;16,4;25,4;28,7;41,2;39,8;51,7;57,9;76,6;70,1;76,2;80,7;84,7;73,1;77,5;84,4
Lagoa Salgada;20,6;17,1;20,5;25,0;31,1;30,4;41,4;56,6;35,7;43,6;44,0;45,8;49,3;54,6;49,3;57,9;53,0;57,3;63,4;64,5
Lajes;19,3;43,9;42,5;47,6;55,2;57,0;63,7;66,2;75,9;70,1;64,8;76,0;75,2;70,4;74,8;75,2;76,0;85,3;83,0;87,6
Lajes Pintadas;37,5;20,0;26,3;44,7;45,1;28,0;39,2;31,8;59,7;56,8;62,8;56,5;57,6;71,8;70,1;65,2;75,0;86,7;82,1;81,8
Lucrécia;**;**;7,1;12,1;54,3;41,1;33,3;**;40,8;60,5;67,5;76,3;67,3;65,1;62,0;87,8;90,9;77,8;90,2;93,5
