Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Pará;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Itupiranga;2,4;5,0;4,5;6,1;7,3;12,7;6,6;7,8;10,5;10,4;8,5;7,7;13,1;14,7;14,7;14,7;20,0;20,7;19,3;30,4
Jacareacanga;3,4;3,9;5,9;6,3;38,4;34,6;7,9;12,5;6,5;8,3;9,1;17,2;9,2;13,4;24,2;35,5;39,4;31,5;29,7;22,6
Jacundá;8,3;7,0;7,5;10,8;5,5;7,6;19,1;17,9;19,1;19,4;18,1;29,5;36,3;44,2;47,9;54,8;54,8;55,6;60,2;64,6
Juruti;5,3;6,2;11,1;24,7;38,6;26,5;42,6;40,8;39,5;39,3;50,0;46,8;47,9;48,2;50,8;47,2;57,9;52,3;57,6;58,6
Limoeiro do Ajuru;11,7;4,0;6,8;6,1;12,0;32,0;10,7;11,2;11,3;15,6;18,6;24,6;40,7;62,7;44,1;44,7;47,8;46,8;43,3;53,5
Mãe do Rio;25,2;36,0;38,9;35,6;25,8;19,6;26,8;34,9;35,4;33,2;34,8;38,3;40,8;33,5;53,3;50,7;60,4;58,3;60,2;63,5
Magalhães Barata;5,7;11,3;5,8;8,5;13,1;21,7;21,3;25,8;19,4;19,4;34,6;58,5;51,2;51,0;54,7;72,3;53,6;63,3;63,4;67,5
Marabá;17,5;18,0;16,1;18,3;13,7;15,7;15,9;20,5;26,2;24,8;31,0;35,6;35,0;30,6;34,8;35,3;39,0;36,5;37,4;45,8
Maracanã;4,1;3,5;5,1;1,6;10,7;25,1;18,8;19,2;8,3;12,1;17,1;38,4;39,8;31,7;43,7;39,6;46,0;37,3;36,2;38,6
Marapanim;8,9;13,3;6,9;19,8;33,7;31,3;33,1;34,3;22,7;24,9;33,8;48,9;44,4;37,5;48,0;49,1;51,4;39,5;54,1;58,2
Marituba;38,3;42,7;35,2;34,6;29,9;32,1;39,4;41,5;33,4;33,5;37,7;47,3;40,2;37,9;44,5;50,1;45,1;53,2;49,0;42,9
Medicilândia;6,7;10,6;12,3;22,6;22,1;13,1;16,7;19,1;22,8;27,5;20,7;23,6;39,7;51,2;49,8;46,5;54,9;53,8;60,2;66,2
Melgaço;17,4;4,3;5,9;1,6;3,2;8,2;11,2;10,6;16,3;28,0;35,4;34,5;30,2;17,1;11,8;14,3;14,9;19,8;18,7;17,4
Mocajuba;13,9;7,6;7,9;7,8;8,0;3,9;13,0;13,0;12,0;13,3;12,3;24,2;35,2;35,9;45,7;56,8;59,9;59,2;53,2;48,9
Moju;20,1;8,7;9,9;11,0;18,8;13,9;10,3;9,1;15,3;19,1;27,1;27,4;37,4;32,5;33,9;35,6;35,5;37,3;36,8;34,3
Mojuí dos Campos;**;**;**;**;**;**;**;**;**;**;**;**;**;0,0;54,2;57,3;59,1;53,7;63,0;66,6
Monte Alegre;3,3;5,2;13,4;9,5;16,7;18,7;13,9;11,9;18,4;19,8;28,8;36,6;39,0;39,6;28,3;33,8;43,4;49,8;57,2;63,0
Muaná;2,2;8,1;6,9;10,1;13,0;18,1;11,1;3,0;29,0;19,2;24,9;48,5;41,5;35,8;38,2;44,3;40,0;41,3;51,2;49,2
Nova Esperança do Piriá;**;7,9;7,2;7,5;9,3;5,0;10,2;21,6;22,8;19,2;21,3;29,7;23,5;25,7;45,9;51,7;47,4;57,8;57,4;69,7
Nova Ipixuna;6,1;11,4;**;10,9;8,0;11,6;16,4;17,2;24,8;27,1;29,9;29,8;33,0;36,7;46,0;42,2;44,7;49,5;53,8;68,6
Nova Timboteua;16,9;20,2;20,7;19,6;16,5;8,0;11,0;5,7;12,2;21,4;23,2;38,9;30,3;41,1;51,5;51,0;46,7;42,9;43,3;61,1
Novo Progresso;29,5;37,3;12,1;20,9;33,3;35,8;38,2;40,3;36,4;27,2;29,8;33,2;30,4;28,6;41,6;48,7;53,0;58,9;57,2;64,4
Novo Repartimento;4,1;5,7;3,5;1,3;0,9;4,7;3,1;8,0;11,5;20,8;8,7;12,5;16,5;34,0;22,8;35,8;41,4;48,5;52,7;52,1
