Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Pernambuco;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Dormentes;20,5;22,7;22,6;23,8;24,4;20,4;29,2;27,9;36,6;40,9;47,5;70,0;65,9;70,9;78,2;78,4;83,0;82,2;84,5;84,8
Escada;32,9;28,6;27,3;26,8;21,9;19,7;25,8;33,3;37,3;43,7;45,9;43,2;43,5;45,1;41,3;46,3;51,8;57,7;58,8;61,4
Exu;11,6;13,2;14,5;18,7;16,4;17,5;16,4;25,6;28,9;32,3;38,4;59,1;75,8;73,5;73,3;77,2;72,1;83,1;81,8;83,4
Feira Nova;27,9;28,8;37,6;46,8;46,7;39,2;36,7;36,4;39,2;45,7;53,9;49,5;56,3;60,4;66,7;67,2;71,1;78,2;77,4;82,6
Fernando de Noronha;72,2;**;68,2;65,0;73,3;58,3;77,8;80,0;87,5;90,5;60,9;76,0;75,0;75,0;77,3;73,7;69,2;73,9;58,3;75,0
Ferreiros;56,8;54,5;60,1;42,1;49,5;48,0;38,3;42,2;40,9;30,8;45,3;55,9;63,9;73,5;73,7;78,2;66,3;70,7;56,5;69,1
Flores;5,5;9,1;9,5;6,7;11,6;13,0;15,6;21,3;22,0;36,3;45,9;59,8;58,4;58,3;74,8;68,7;75,3;78,6;79,9;83,3
Floresta;43,3;31,5;28,1;23,0;10,9;9,4;18,3;13,0;13,7;46,6;39,0;57,8;65,0;66,9;67,9;70,7;67,7;70,6;70,7;68,7
Frei Miguelinho;16,9;24,9;41,1;38,2;36,0;33,3;25,3;30,8;38,9;34,2;46,7;50,3;50,3;62,9;71,8;67,1;61,7;63,6;74,7;80,3
Gameleira;24,4;25,5;35,4;32,0;38,2;51,1;51,1;52,5;41,0;42,5;27,8;40,3;41,7;42,6;48,3;52,4;50,8;54,6;64,4;71,5
Garanhuns;37,4;43,9;47,7;43,4;42,9;40,1;47,8;48,1;54,3;56,9;61,1;62,7;65,3;65,8;65,4;69,5;72,9;73,4;76,0;75,4
Glória do Goitá;28,1;39,0;41,9;51,9;47,0;47,5;43,1;48,5;52,4;55,6;61,2;52,0;41,9;64,0;63,5;67,0;66,0;63,5;65,5;67,9
Goiana;37,0;44,5;47,3;48,0;42,6;45,3;36,9;37,4;40,4;41,3;41,3;41,2;49,4;45,5;51,6;55,0;54,6;59,3;61,3;68,5
Granito;7,7;5,2;12,2;8,3;9,4;8,4;17,6;22,7;28,7;27,9;38,5;50,9;74,6;73,9;80,2;84,5;86,2;91,6;93,7;93,5
Gravatá;43,7;43,2;46,7;46,0;44,6;44,2;49,4;51,6;57,4;57,4;61,7;60,5;54,4;57,9;61,3;64,3;63,7;64,9;65,3;65,7
Iati;20,8;16,3;34,6;41,0;26,4;22,2;29,2;32,0;29,0;32,3;37,0;44,7;51,4;63,0;67,2;58,8;59,4;69,1;81,2;78,1
Ibimirim;28,0;23,3;27,3;30,7;39,8;38,3;41,2;47,8;55,9;52,4;57,4;60,2;60,3;64,6;74,0;78,4;81,1;74,6;78,1;82,3
Ibirajuba;16,8;22,4;27,9;35,7;41,1;33,1;38,1;32,0;26,4;41,3;52,0;62,5;57,1;74,5;77,9;73,0;59,8;74,0;74,7;73,5
Igarassu;46,4;47,5;52,0;43,4;36,7;36,7;39,6;43,7;44,2;42,8;42,8;46,5;47,9;50,9;55,0;51,6;50,7;58,4;63,3;70,6
Iguaracy;15,3;14,1;22,5;17,5;16,1;25,9;20,6;16,5;27,7;37,3;35,8;52,5;66,5;76,6;72,7;84,8;83,3;85,3;88,5;78,3
Inajá;16,8;21,0;23,1;25,6;29,3;28,3;30,9;38,6;52,8;49,6;50,9;55,5;54,4;58,2;72,8;70,2;75,6;70,1;74,7;79,4
Ingazeira;12,7;**;20,3;27,3;21,3;25,3;28,8;13,3;26,8;34,4;38,6;43,9;60,9;78,0;79,3;91,1;98,5;94,4;93,8;90,5
Ipojuca;33,6;42,0;45,1;42,1;40,3;29,8;38,4;46,6;44,3;42,1;39,2;39,5;45,7;43,3;57,7;62,3;63,6;64,3;66,9;73,5
Ipubi;16,9;15,4;8,9;10,1;10,3;11,2;25,9;28,3;36,9;49,4;62,1;57,3;59,8;69,1;77,0;74,7;71,2;75,9;83,1;82,8
Itacuruba;37,1;28,6;24,4;21,3;15,6;20,2;33,7;41,2;43,8;54,8;48,3;41,0;59,7;78,7;65,4;79,2;78,8;87,0;87,5;91,2
Itaíba;12,2;11,6;17,4;16,8;21,1;17,8;19,6;25,4;26,4;20,9;35,3;49,7;59,4;64,7;70,5;71,0;71,7;71,2;76,3;79,1
Ilha de Itamaracá;29,3;29,9;41,7;38,4;30,4;31,9;29,7;27,2;23,6;32,8;40,5;41,6;39,5;51,2;54,5;51,0;53,3;50,2;56,4;58,3
Itambé;38,4;38,1;38,7;48,3;43,9;38,0;36,7;40,6;42,7;43,2;50,0;49,0;53,7;58,2;64,0;68,5;73,2;77,5;73,5;76,2
