Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Maranhão;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Humberto de Campos;7,9;2,5;**;**;9,5;4,9;20,7;15,1;12,1;5,9;6,0;10,4;30,3;35,3;57,0;37,0;48,6;34,7;26,0;32,7
Icatu;5,0;12,9;12,2;1,9;1,1;2,5;1,7;34,0;5,0;11,0;15,5;22,3;20,9;17,3;22,8;23,7;27,3;19,5;29,6;34,4
Igarapé do Meio;11,8;14,6;12,8;9,4;29,4;26,8;29,8;44,7;10,7;15,4;7,9;16,4;18,3;11,8;19,4;26,6;28,6;21,1;31,8;41,0
Igarapé Grande;8,4;15,3;17,5;12,5;41,6;37,2;23,7;36,8;28,1;25,3;29,5;39,4;24,6;40,7;29,9;30,1;44,4;58,8;66,4;81,0
Imperatriz;32,9;45,7;50,4;47,6;68,5;70,8;64,6;36,9;35,1;40,1;39,9;41,7;42,5;36,7;47,8;53,9;51,6;51,3;56,1;59,6
Itaipava do Grajaú;**;**;5,0;3,0;20,5;23,8;23,5;17,6;18,5;23,6;16,6;15,9;18,4;24,1;27,9;24,1;28,4;30,7;35,2;56,1
Itapecuru Mirim;6,4;12,5;16,7;23,6;21,4;18,1;26,9;32,1;28,8;27,2;33,9;37,2;32,0;29,9;42,5;40,3;40,2;32,6;41,2;47,3
Itinga do Maranhão;5,5;9,8;17,0;14,5;10,8;13,4;10,2;9,3;12,6;18,1;26,4;32,9;41,8;44,2;43,1;48,2;47,7;48,3;56,3;54,4
Jatobá;9,8;15,4;13,7;4,1;2,9;11,7;**;8,3;4,4;7,6;7,1;11,4;45,5;35,7;43,4;40,1;37,3;46,6;44,4;51,4
Jenipapo dos Vieiras;**;**;**;7,8;4,8;4,6;9,0;5,4;1,9;5,0;8,4;12,7;14,5;17,1;17,3;12,3;22,5;26,3;38,2;35,4
João Lisboa;18,2;45,9;75,2;69,4;37,4;44,5;47,4;33,4;14,5;18,4;22,4;29,1;29,6;22,4;37,0;33,9;34,8;44,1;53,8;59,2
Joselândia;45,7;34,8;28,1;79,4;81,1;85,3;82,9;91,7;71,0;80,2;77,1;47,1;50,8;48,2;50,4;51,9;50,6;45,5;56,8;56,2
Junco do Maranhão;**;**;11,1;14,0;22,1;11,5;17,7;17,2;10,7;22,8;15,0;25,2;32,7;35,7;37,3;44,9;38,7;49,6;51,9;29,7
Lago da Pedra;16,1;17,7;15,6;17,9;18,7;19,0;42,7;36,3;25,2;21,3;25,4;41,9;33,5;51,7;65,8;89,7;84,5;82,4;81,1;85,5
Lago do Junco;16,5;15,6;16,5;12,6;6,1;9,7;10,6;13,0;15,2;14,3;12,6;16,1;34,1;39,7;52,3;58,9;58,8;37,4;36,2;59,3
Lago Verde;17,9;22,8;21,7;13,4;12,8;14,8;11,4;13,7;21,4;4,7;5,0;22,3;23,4;23,2;27,5;37,5;33,1;31,1;37,0;38,8
Lagoa do Mato;**;**;6,3;9,6;4,1;7,6;10,7;19,0;8,0;16,1;7,9;61,2;67,7;74,0;70,6;78,6;80,2;70,7;74,2;71,5
Lago dos Rodrigues;4,7;31,0;32,4;41,4;43,7;28,9;14,1;15,2;11,8;22,0;34,1;25,3;41,9;38,1;45,0;66,9;60,0;47,2;57,1;60,4
